email_text,label
Reminder: Your appointment is on 22/04/2026.,ham
The payment of $190 has been successfully processed.,ham
Limited time offer! Get 16% off on your purchase. Click here.,spam
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $4131 cash now.,spam
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
The payment of $286 has been successfully processed.,ham
You are selected for a lottery of $2632. Urgent response needed.,spam
Please find attached the report for review.,ham
You are selected for a lottery of $2822. Urgent response needed.,spam
Congratulations! You have won a $2318 prize. Claim now.,spam
Team meeting scheduled for 10/04/2026. Please attend.,ham
Congratulations! You have won a $2246 prize. Claim now.,spam
Project update: please review the latest changes.,ham
Limited time offer! Get 55% off on your purchase. Click here.,spam
Limited time offer! Get 43% off on your purchase. Click here.,spam
Reminder: Your appointment is on 6/04/2026.,ham
Congratulations! You have won a $1983 prize. Claim now.,spam
Project update: please review the latest changes.,ham
Congratulations! You have won a $3271 prize. Claim now.,spam
Team meeting scheduled for 20/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 18/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Limited time offer! Get 39% off on your purchase. Click here.,spam
Congratulations! You have won a $4064 prize. Claim now.,spam
Project update: please review the latest changes.,ham
"Hi, just checking in about the meeting scheduled on 1/04/2026.",ham
Let's catch up over dinner this weekend.,ham
Limited time offer! Get 35% off on your purchase. Click here.,spam
Let's catch up over dinner this weekend.,ham
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 8/04/2026.,ham
Let's catch up over dinner this weekend.,ham
The payment of $1478 has been successfully processed.,ham
Team meeting scheduled for 18/04/2026. Please attend.,ham
Team meeting scheduled for 4/04/2026. Please attend.,ham
Congratulations! You have won a $3790 prize. Claim now.,spam
Congratulations! You have won a $4805 prize. Claim now.,spam
The payment of $471 has been successfully processed.,ham
Congratulations! You have won a $1354 prize. Claim now.,spam
Congratulations! You have won a $1058 prize. Claim now.,spam
Let's catch up over dinner this weekend.,ham
You are selected for a lottery of $101. Urgent response needed.,spam
Please find attached the report for review.,ham
Team meeting scheduled for 5/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 25/04/2026.",ham
You are selected for a lottery of $3973. Urgent response needed.,spam
Please find attached the report for review.,ham
Congratulations! You have won a $2607 prize. Claim now.,spam
The payment of $1814 has been successfully processed.,ham
Act now! Claim your free reward worth $284.,spam
Reminder: Your appointment is on 5/04/2026.,ham
The payment of $1124 has been successfully processed.,ham
Reminder: Your appointment is on 24/04/2026.,ham
Reminder: Your appointment is on 12/04/2026.,ham
Reminder: Your appointment is on 20/04/2026.,ham
Congratulations! You have won a $1006 prize. Claim now.,spam
Limited time offer! Get 15% off on your purchase. Click here.,spam
Exclusive deal just for you. Win $4082 cash now.,spam
Project update: please review the latest changes.,ham
Limited time offer! Get 45% off on your purchase. Click here.,spam
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 17/04/2026.",ham
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
Congratulations! You have won a $2952 prize. Claim now.,spam
"Hi, just checking in about the meeting scheduled on 22/04/2026.",ham
Limited time offer! Get 31% off on your purchase. Click here.,spam
Please find attached the report for review.,ham
Congratulations! You have won a $4439 prize. Claim now.,spam
"Hi, just checking in about the meeting scheduled on 20/04/2026.",ham
You are selected for a lottery of $2910. Urgent response needed.,spam
The payment of $913 has been successfully processed.,ham
Project update: please review the latest changes.,ham
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $4611 cash now.,spam
Let's catch up over dinner this weekend.,ham
"Hi, just checking in about the meeting scheduled on 19/04/2026.",ham
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Congratulations! You have won a $407 prize. Claim now.,spam
You are selected for a lottery of $3094. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $2068 cash now.,spam
Reminder: Your appointment is on 24/04/2026.,ham
Project update: please review the latest changes.,ham
Limited time offer! Get 21% off on your purchase. Click here.,spam
The payment of $702 has been successfully processed.,ham
The payment of $336 has been successfully processed.,ham
Limited time offer! Get 68% off on your purchase. Click here.,spam
Act now! Claim your free reward worth $575.,spam
Limited time offer! Get 47% off on your purchase. Click here.,spam
Exclusive deal just for you. Win $4187 cash now.,spam
Team meeting scheduled for 14/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 19/04/2026.",ham
Limited time offer! Get 38% off on your purchase. Click here.,spam
Limited time offer! Get 47% off on your purchase. Click here.,spam
Please find attached the report for review.,ham
Team meeting scheduled for 12/04/2026. Please attend.,ham
Exclusive deal just for you. Win $1239 cash now.,spam
You are selected for a lottery of $354. Urgent response needed.,spam
You are selected for a lottery of $2918. Urgent response needed.,spam
Congratulations! You have won a $2259 prize. Claim now.,spam
Reminder: Your appointment is on 6/04/2026.,ham
Limited time offer! Get 59% off on your purchase. Click here.,spam
The payment of $772 has been successfully processed.,ham
The payment of $1451 has been successfully processed.,ham
Exclusive deal just for you. Win $306 cash now.,spam
Team meeting scheduled for 4/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
The payment of $976 has been successfully processed.,ham
Limited time offer! Get 37% off on your purchase. Click here.,spam
The payment of $1711 has been successfully processed.,ham
Let's catch up over dinner this weekend.,ham
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 9/04/2026.,ham
The payment of $1752 has been successfully processed.,ham
You are selected for a lottery of $2284. Urgent response needed.,spam
Act now! Claim your free reward worth $2500.,spam
"Hi, just checking in about the meeting scheduled on 16/04/2026.",ham
"Hi, just checking in about the meeting scheduled on 18/04/2026.",ham
You are selected for a lottery of $813. Urgent response needed.,spam
Limited time offer! Get 48% off on your purchase. Click here.,spam
Please find attached the report for review.,ham
Reminder: Your appointment is on 6/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 7/04/2026.",ham
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $2983 cash now.,spam
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 20/04/2026.,ham
Team meeting scheduled for 4/04/2026. Please attend.,ham
The payment of $811 has been successfully processed.,ham
Reminder: Your appointment is on 4/04/2026.,ham
Team meeting scheduled for 25/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
The payment of $1524 has been successfully processed.,ham
Congratulations! You have won a $4236 prize. Claim now.,spam
Limited time offer! Get 50% off on your purchase. Click here.,spam
Project update: please review the latest changes.,ham
You are selected for a lottery of $3345. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
The payment of $696 has been successfully processed.,ham
You are selected for a lottery of $608. Urgent response needed.,spam
You are selected for a lottery of $1496. Urgent response needed.,spam
You are selected for a lottery of $1272. Urgent response needed.,spam
The payment of $818 has been successfully processed.,ham
Please find attached the report for review.,ham
Team meeting scheduled for 6/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
Congratulations! You have won a $1636 prize. Claim now.,spam
Limited time offer! Get 39% off on your purchase. Click here.,spam
Please find attached the report for review.,ham
Reminder: Your appointment is on 25/04/2026.,ham
You are selected for a lottery of $3565. Urgent response needed.,spam
Project update: please review the latest changes.,ham
"Hi, just checking in about the meeting scheduled on 1/04/2026.",ham
Let's catch up over dinner this weekend.,ham
Congratulations! You have won a $4666 prize. Claim now.,spam
Team meeting scheduled for 27/04/2026. Please attend.,ham
Please find attached the report for review.,ham
You are selected for a lottery of $4670. Urgent response needed.,spam
Act now! Claim your free reward worth $4976.,spam
Exclusive deal just for you. Win $2736 cash now.,spam
Congratulations! You have won a $2586 prize. Claim now.,spam
Act now! Claim your free reward worth $2244.,spam
"Hi, just checking in about the meeting scheduled on 27/04/2026.",ham
Let's catch up over dinner this weekend.,ham
Let's catch up over dinner this weekend.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 7/04/2026. Please attend.,ham
You are selected for a lottery of $2860. Urgent response needed.,spam
Limited time offer! Get 11% off on your purchase. Click here.,spam
Limited time offer! Get 48% off on your purchase. Click here.,spam
Exclusive deal just for you. Win $1241 cash now.,spam
Project update: please review the latest changes.,ham
Project update: please review the latest changes.,ham
Exclusive deal just for you. Win $4630 cash now.,spam
Project update: please review the latest changes.,ham
Act now! Claim your free reward worth $350.,spam
"Hi, just checking in about the meeting scheduled on 11/04/2026.",ham
Project update: please review the latest changes.,ham
The payment of $472 has been successfully processed.,ham
Act now! Claim your free reward worth $3970.,spam
The payment of $1473 has been successfully processed.,ham
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $3087 cash now.,spam
Project update: please review the latest changes.,ham
Congratulations! You have won a $2585 prize. Claim now.,spam
Limited time offer! Get 29% off on your purchase. Click here.,spam
The payment of $1517 has been successfully processed.,ham
Congratulations! You have won a $924 prize. Claim now.,spam
The payment of $160 has been successfully processed.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 24/04/2026.",ham
The payment of $1392 has been successfully processed.,ham
Exclusive deal just for you. Win $211 cash now.,spam
The payment of $426 has been successfully processed.,ham
Project update: please review the latest changes.,ham
Congratulations! You have won a $2791 prize. Claim now.,spam
Congratulations! You have won a $982 prize. Claim now.,spam
Exclusive deal just for you. Win $2356 cash now.,spam
Reminder: Your appointment is on 12/04/2026.,ham
Reminder: Your appointment is on 13/04/2026.,ham
Team meeting scheduled for 24/04/2026. Please attend.,ham
Congratulations! You have won a $2993 prize. Claim now.,spam
Reminder: Your appointment is on 22/04/2026.,ham
Reminder: Your appointment is on 11/04/2026.,ham
Let's catch up over dinner this weekend.,ham
Congratulations! You have won a $1933 prize. Claim now.,spam
Limited time offer! Get 21% off on your purchase. Click here.,spam
Let's catch up over dinner this weekend.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 14/04/2026.",ham
Act now! Claim your free reward worth $2008.,spam
The payment of $1893 has been successfully processed.,ham
"Hi, just checking in about the meeting scheduled on 19/04/2026.",ham
Reminder: Your appointment is on 17/04/2026.,ham
Limited time offer! Get 33% off on your purchase. Click here.,spam
The payment of $1564 has been successfully processed.,ham
Act now! Claim your free reward worth $884.,spam
Limited time offer! Get 44% off on your purchase. Click here.,spam
The payment of $1460 has been successfully processed.,ham
Exclusive deal just for you. Win $2322 cash now.,spam
Let's catch up over dinner this weekend.,ham
Team meeting scheduled for 16/04/2026. Please attend.,ham
The payment of $1221 has been successfully processed.,ham
The payment of $650 has been successfully processed.,ham
The payment of $927 has been successfully processed.,ham
Reminder: Your appointment is on 4/04/2026.,ham
Let's catch up over dinner this weekend.,ham
Please find attached the report for review.,ham
Congratulations! You have won a $4270 prize. Claim now.,spam
Project update: please review the latest changes.,ham
The payment of $340 has been successfully processed.,ham
Team meeting scheduled for 13/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
Let's catch up over dinner this weekend.,ham
Limited time offer! Get 42% off on your purchase. Click here.,spam
The payment of $1502 has been successfully processed.,ham
Project update: please review the latest changes.,ham
Reminder: Your appointment is on 19/04/2026.,ham
Project update: please review the latest changes.,ham
The payment of $933 has been successfully processed.,ham
Let's catch up over dinner this weekend.,ham
Act now! Claim your free reward worth $4146.,spam
You are selected for a lottery of $2991. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
Act now! Claim your free reward worth $4715.,spam
Project update: please review the latest changes.,ham
Project update: please review the latest changes.,ham
You are selected for a lottery of $3712. Urgent response needed.,spam
Reminder: Your appointment is on 15/04/2026.,ham
Project update: please review the latest changes.,ham
The payment of $1398 has been successfully processed.,ham
Act now! Claim your free reward worth $1004.,spam
The payment of $1483 has been successfully processed.,ham
You are selected for a lottery of $4744. Urgent response needed.,spam
Congratulations! You have won a $2600 prize. Claim now.,spam
Limited time offer! Get 11% off on your purchase. Click here.,spam
Team meeting scheduled for 25/04/2026. Please attend.,ham
The payment of $1990 has been successfully processed.,ham
"Hi, just checking in about the meeting scheduled on 28/04/2026.",ham
"Hi, just checking in about the meeting scheduled on 20/04/2026.",ham
"Hi, just checking in about the meeting scheduled on 17/04/2026.",ham
Please find attached the report for review.,ham
Reminder: Your appointment is on 17/04/2026.,ham
Project update: please review the latest changes.,ham
"Hi, just checking in about the meeting scheduled on 10/04/2026.",ham
Congratulations! You have won a $3135 prize. Claim now.,spam
Limited time offer! Get 46% off on your purchase. Click here.,spam
Exclusive deal just for you. Win $1837 cash now.,spam
You are selected for a lottery of $1963. Urgent response needed.,spam
You are selected for a lottery of $475. Urgent response needed.,spam
Act now! Claim your free reward worth $1879.,spam
Congratulations! You have won a $617 prize. Claim now.,spam
Act now! Claim your free reward worth $2489.,spam
Reminder: Your appointment is on 28/04/2026.,ham
Let's catch up over dinner this weekend.,ham
The payment of $1024 has been successfully processed.,ham
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 4/04/2026.,ham
Team meeting scheduled for 25/04/2026. Please attend.,ham
Congratulations! You have won a $2944 prize. Claim now.,spam
Exclusive deal just for you. Win $4990 cash now.,spam
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
Limited time offer! Get 39% off on your purchase. Click here.,spam
Congratulations! You have won a $2552 prize. Claim now.,spam
Reminder: Your appointment is on 11/04/2026.,ham
Exclusive deal just for you. Win $3822 cash now.,spam
Please find attached the report for review.,ham
Congratulations! You have won a $3105 prize. Claim now.,spam
Reminder: Your appointment is on 5/04/2026.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 3/04/2026. Please attend.,ham
Team meeting scheduled for 11/04/2026. Please attend.,ham
Limited time offer! Get 17% off on your purchase. Click here.,spam
You are selected for a lottery of $434. Urgent response needed.,spam
Congratulations! You have won a $3029 prize. Claim now.,spam
The payment of $399 has been successfully processed.,ham
Project update: please review the latest changes.,ham
"Hi, just checking in about the meeting scheduled on 8/04/2026.",ham
Team meeting scheduled for 17/04/2026. Please attend.,ham
The payment of $1987 has been successfully processed.,ham
Limited time offer! Get 64% off on your purchase. Click here.,spam
Act now! Claim your free reward worth $386.,spam
Exclusive deal just for you. Win $1189 cash now.,spam
Team meeting scheduled for 27/04/2026. Please attend.,ham
Reminder: Your appointment is on 19/04/2026.,ham
Exclusive deal just for you. Win $4946 cash now.,spam
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $2551 cash now.,spam
Let's catch up over dinner this weekend.,ham
Reminder: Your appointment is on 9/04/2026.,ham
Act now! Claim your free reward worth $2897.,spam
Limited time offer! Get 17% off on your purchase. Click here.,spam
The payment of $301 has been successfully processed.,ham
Team meeting scheduled for 18/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
"Hi, just checking in about the meeting scheduled on 16/04/2026.",ham
Reminder: Your appointment is on 21/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 28/04/2026.",ham
Congratulations! You have won a $2085 prize. Claim now.,spam
Reminder: Your appointment is on 5/04/2026.,ham
Project update: please review the latest changes.,ham
The payment of $1853 has been successfully processed.,ham
Let's catch up over dinner this weekend.,ham
The payment of $1864 has been successfully processed.,ham
Project update: please review the latest changes.,ham
Let's catch up over dinner this weekend.,ham
Act now! Claim your free reward worth $4413.,spam
You are selected for a lottery of $2587. Urgent response needed.,spam
"Hi, just checking in about the meeting scheduled on 24/04/2026.",ham
Team meeting scheduled for 22/04/2026. Please attend.,ham
Act now! Claim your free reward worth $2747.,spam
Project update: please review the latest changes.,ham
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 10/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Reminder: Your appointment is on 4/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 26/04/2026.",ham
Congratulations! You have won a $833 prize. Claim now.,spam
You are selected for a lottery of $1254. Urgent response needed.,spam
Team meeting scheduled for 25/04/2026. Please attend.,ham
Act now! Claim your free reward worth $4545.,spam
Congratulations! You have won a $1190 prize. Claim now.,spam
Please find attached the report for review.,ham
Exclusive deal just for you. Win $965 cash now.,spam
Team meeting scheduled for 5/04/2026. Please attend.,ham
Reminder: Your appointment is on 2/04/2026.,ham
Act now! Claim your free reward worth $1234.,spam
Team meeting scheduled for 5/04/2026. Please attend.,ham
Please find attached the report for review.,ham
Team meeting scheduled for 16/04/2026. Please attend.,ham
Exclusive deal just for you. Win $429 cash now.,spam
Act now! Claim your free reward worth $1872.,spam
The payment of $449 has been successfully processed.,ham
Congratulations! You have won a $2405 prize. Claim now.,spam
Congratulations! You have won a $1709 prize. Claim now.,spam
Act now! Claim your free reward worth $1020.,spam
Team meeting scheduled for 26/04/2026. Please attend.,ham
Congratulations! You have won a $1653 prize. Claim now.,spam
You are selected for a lottery of $4019. Urgent response needed.,spam
Act now! Claim your free reward worth $1163.,spam
Exclusive deal just for you. Win $446 cash now.,spam
Let's catch up over dinner this weekend.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 15/04/2026. Please attend.,ham
Let's catch up over dinner this weekend.,ham
Act now! Claim your free reward worth $1974.,spam
Limited time offer! Get 65% off on your purchase. Click here.,spam
Team meeting scheduled for 25/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 4/04/2026.",ham
Exclusive deal just for you. Win $4998 cash now.,spam
Reminder: Your appointment is on 13/04/2026.,ham
Team meeting scheduled for 26/04/2026. Please attend.,ham
The payment of $1730 has been successfully processed.,ham
Limited time offer! Get 52% off on your purchase. Click here.,spam
Team meeting scheduled for 24/04/2026. Please attend.,ham
Exclusive deal just for you. Win $1473 cash now.,spam
The payment of $477 has been successfully processed.,ham
Team meeting scheduled for 11/04/2026. Please attend.,ham
Limited time offer! Get 13% off on your purchase. Click here.,spam
Reminder: Your appointment is on 10/04/2026.,ham
Exclusive deal just for you. Win $2334 cash now.,spam
Act now! Claim your free reward worth $2643.,spam
You are selected for a lottery of $2583. Urgent response needed.,spam
The payment of $1309 has been successfully processed.,ham
Team meeting scheduled for 12/04/2026. Please attend.,ham
Congratulations! You have won a $1982 prize. Claim now.,spam
Exclusive deal just for you. Win $2317 cash now.,spam
The payment of $832 has been successfully processed.,ham
The payment of $1071 has been successfully processed.,ham
Team meeting scheduled for 12/04/2026. Please attend.,ham
Act now! Claim your free reward worth $4487.,spam
"Hi, just checking in about the meeting scheduled on 7/04/2026.",ham
Limited time offer! Get 25% off on your purchase. Click here.,spam
Limited time offer! Get 12% off on your purchase. Click here.,spam
Reminder: Your appointment is on 4/04/2026.,ham
Project update: please review the latest changes.,ham
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $3363 cash now.,spam
Project update: please review the latest changes.,ham
Team meeting scheduled for 7/04/2026. Please attend.,ham
Limited time offer! Get 70% off on your purchase. Click here.,spam
You are selected for a lottery of $4186. Urgent response needed.,spam
Please find attached the report for review.,ham
Act now! Claim your free reward worth $3235.,spam
Exclusive deal just for you. Win $4500 cash now.,spam
Exclusive deal just for you. Win $645 cash now.,spam
Act now! Claim your free reward worth $606.,spam
You are selected for a lottery of $1836. Urgent response needed.,spam
You are selected for a lottery of $3753. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
Act now! Claim your free reward worth $1584.,spam
Team meeting scheduled for 26/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 14/04/2026.",ham
Congratulations! You have won a $3286 prize. Claim now.,spam
Let's catch up over dinner this weekend.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 20/04/2026. Please attend.,ham
Act now! Claim your free reward worth $1040.,spam
The payment of $1357 has been successfully processed.,ham
Exclusive deal just for you. Win $2055 cash now.,spam
The payment of $1337 has been successfully processed.,ham
Limited time offer! Get 52% off on your purchase. Click here.,spam
"Hi, just checking in about the meeting scheduled on 18/04/2026.",ham
"Hi, just checking in about the meeting scheduled on 18/04/2026.",ham
Reminder: Your appointment is on 22/04/2026.,ham
"Hi, just checking in about the meeting scheduled on 11/04/2026.",ham
Team meeting scheduled for 18/04/2026. Please attend.,ham
You are selected for a lottery of $227. Urgent response needed.,spam
Team meeting scheduled for 11/04/2026. Please attend.,ham
Please find attached the report for review.,ham
Project update: please review the latest changes.,ham
Team meeting scheduled for 27/04/2026. Please attend.,ham
Team meeting scheduled for 18/04/2026. Please attend.,ham
Exclusive deal just for you. Win $3661 cash now.,spam
Congratulations! You have won a $641 prize. Claim now.,spam
Please find attached the report for review.,ham
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 27/04/2026.",ham
Act now! Claim your free reward worth $4681.,spam
"Hi, just checking in about the meeting scheduled on 19/04/2026.",ham
The payment of $1153 has been successfully processed.,ham
Act now! Claim your free reward worth $4476.,spam
Reminder: Your appointment is on 20/04/2026.,ham
Team meeting scheduled for 16/04/2026. Please attend.,ham
Team meeting scheduled for 20/04/2026. Please attend.,ham
Project update: please review the latest changes.,ham
Let's catch up over dinner this weekend.,ham
Team meeting scheduled for 27/04/2026. Please attend.,ham
Act now! Claim your free reward worth $2842.,spam
You are selected for a lottery of $1271. Urgent response needed.,spam
Let's catch up over dinner this weekend.,ham
Team meeting scheduled for 11/04/2026. Please attend.,ham
"Hi, just checking in about the meeting scheduled on 2/04/2026.",ham
Congratulations! You have won a $4617 prize. Claim now.,spam
"Hi, just checking in about the meeting scheduled on 24/04/2026.",ham
"Hi, just checking in about the meeting scheduled on 20/04/2026.",ham
Let's catch up over dinner this weekend.,ham
Exclusive deal just for you. Win $4689 cash now.,spam
Let's catch up over dinner this weekend.,ham
Congratulations! You have won a $777 prize. Claim now.,spam
Please find attached the report for review.,ham
Exclusive deal just for you. Win $978 cash now.,spam
Act now! Claim your free reward worth $1515.,spam
Act now! Claim your free reward worth $4483.,spam
You are selected for a lottery of $2744. Urgent response needed.,spam
"Hi, just checking in about the meeting scheduled on 4/04/2026.",ham
Team meeting scheduled for 3/04/2026. Please attend.,ham
Congratulations! You have won a $2830 prize. Claim now.,spam
Please find attached the report for review.,ham
"Hi, just checking in about the meeting scheduled on 20/04/2026.",ham
Limited time offer! Get 46% off on your purchase. Click here.,spam
Limited time offer! Get 53% off on your purchase. Click here.,spam
"Hi, just checking in about the meeting scheduled on 18/04/2026.",ham
Team meeting scheduled for 25/04/2026. Please attend.,ham
Limited time offer! Get 23% off on your purchase. Click here.,spam
